ID_Paciente,Nombre,DNI,Telefono,Email
P001,Ana Torres,70000000,971275539,ana.torres@gmail.com
P002,Luis Fernandez,70001234,998712356,luis.fernandez@gmail.com
P003,Carla Rojas,70002468,974653270,carla.rojas@gmail.com
P004,Miguel Diaz,70003702,973237419,miguel.diaz@gmail.com
P005,Sofia Ramos,70004936,944712939,sofia.ramos@gmail.com
P006,Carlos Vega,70006170,935322621,carlos.vega@gmail.com
P007,Laura Castillo,70007404,910668314,laura.castillo@gmail.com
P008,Jose Mendoza,70008638,975262302,jose.mendoza@gmail.com
P009,Patricia Ruiz,70009872,954838209,patricia.ruiz@gmail.com
P010,Diego Soto,70011106,928097769,diego.soto@gmail.com
P011,Camila Flores,70012340,925558359,camila.flores@gmail.com
P012,Andres Paredes,70013574,927340570,andres.paredes@gmail.com
P013,Valeria Campos,70014808,943380218,valeria.campos@gmail.com
P014,Ricardo Silva,70016042,933575462,ricardo.silva@gmail.com
P015,Lucia Guzman,70017276,954060021,lucia.guzman@gmail.com
P016,Javier Torres,70018510,984665922,javier.torres@gmail.com
P017,Rosa Herrera,70019744,924569433,rosa.herrera@gmail.com
P018,Alonso Morales,70020978,929029134,alonso.morales@gmail.com
P019,Diana Chavez,70022212,927712396,diana.chavez@gmail.com
P020,Kevin Romero,70023446,965452103,kevin.romero@gmail.com
P021,Juan Perez,12345678,912345678,juanperez@example.com
P022,Juan Perez,12345678,912345678,juanperez@example.com
P023,Eduardo Alvarez,88880889,940070240,eduardo.alvarez06@gmail.com
P024,Juan Perez,12345678,912345678,juanperez@example.com
P025,Wilmer Pisco,12345678,987654321,wilycito@wilycito.com
P026,Panaedu,70006174,907321456,eduernesto05@gmail.com
P027,Maria Gomez (GSheets),11223344,999888777,maria@example.com
P028,Paciente de Prueba CRUD,98765432,911222333,crud@example.com
P029,Paciente de Prueba CRUD,98765432,911222333,crud@example.com
P030,CARLOS,70982558,999999999,CARLOS@hotmail.com
P031,ALDO,88888888,999999777,ALDOS@hotmail.com
P032,CARMAN,55555555,999999999,CARMAN@hotmail.com
P033,MARTHA,15151515,984848489,MANTHAR@GMAIL.COM
P034,Test Bajo Riesgo,10101010,910101010,bajo@test.com
P035,CRISTOBAL COLON,45789689,987585858,CARITOBAL-COLON@GMAIL.COM
P036,Paciente Conversacion,66778899,966778899,conversa@test.com
P037,ASD,78451263,999999998,ASD@GMAIL.COM
